Company,Date,Close/Last,Volume,Open,High,Low
AAPL,7/17/2023,193.99,50520160.00,191.90,194.32,191.81
AAPL,7/14/2023,190.69,41616240.00,190.23,191.18,189.63
AAPL,7/13/2023,190.54,41342340.00,190.50,191.19,189.78
AAPL,7/12/2023,189.77,60750250.00,189.68,191.70,188.47
AAPL,7/11/2023,188.08,46638120.00,189.16,189.30,186.60
AAPL,7/10/2023,188.61,59922160.00,189.26,189.99,187.04
AAPL,7/7/2023,190.68,46815000.00,191.41,192.67,190.24
AAPL,7/6/2023,191.81,45156010.00,189.84,192.02,189.20
AAPL,7/5/2023,191.33,46920260.00,191.57,192.98,190.62
AAPL,7/3/2023,192.46,31346600.00,193.78,193.88,191.76
AAPL,6/30/2023,193.97,85213220.00,191.63,194.48,191.26
AAPL,6/29/2023,189.59,46347310.00,189.08,190.07,188.94
AAPL,6/28/2023,189.25,51216800.00,187.93,189.90,187.60
AAPL,6/27/2023,188.06,50730850.00,185.89,188.39,185.67
AAPL,6/26/2023,185.27,48088660.00,186.83,188.05,185.23
AAPL,6/23/2023,186.68,53117000.00,185.55,187.56,185.01
AAPL,6/22/2023,187.00,51245330.00,183.74,187.05,183.67
AAPL,6/21/2023,183.96,49515700.00,184.90,185.41,182.59
AAPL,6/20/2023,185.01,49799090.00,184.41,186.10,184.41
AAPL,6/16/2023,184.92,101256200.00,186.73,186.99,184.27
AAPL,6/15/2023,186.01,65433170.00,183.96,186.52,183.78
AAPL,6/14/2023,183.95,57462880.00,183.37,184.39,182.02
AAPL,6/13/2023,183.31,54929130.00,182.80,184.15,182.44
AAPL,6/12/2023,183.79,54755000.00,181.27,183.89,180.97
AAPL,6/9/2023,180.96,48899970.00,181.50,182.23,180.63
AAPL,6/8/2023,180.57,50214880.00,177.90,180.84,177.46
AAPL,6/7/2023,177.82,61944620.00,178.44,181.21,177.32
AAPL,6/6/2023,179.21,64848370.00,179.97,180.12,177.43
AAPL,6/5/2023,179.58,121946500.00,182.63,184.95,178.04
AAPL,6/2/2023,180.95,61996910.00,181.03,181.78,179.26
AAPL,6/1/2023,180.09,68901810.00,177.70,180.12,176.93
AAPL,5/31/2023,177.25,99625290.00,177.33,179.35,176.76
AAPL,5/30/2023,177.30,55964400.00,176.96,178.99,176.57
AAPL,5/26/2023,175.43,54834980.00,173.32,175.77,173.11
AAPL,5/25/2023,172.99,56058260.00,172.41,173.90,171.69
AAPL,5/24/2023,171.84,45143490.00,171.09,172.42,170.52
AAPL,5/23/2023,171.56,50747260.00,173.13,173.38,171.28
AAPL,5/22/2023,174.20,43570930.00,173.98,174.71,173.45
AAPL,5/19/2023,175.16,55809480.00,176.39,176.39,174.94
AAPL,5/18/2023,175.05,65496660.00,173.00,175.24,172.58
AAPL,5/17/2023,172.69,57951600.00,171.71,172.93,170.42
AAPL,5/16/2023,172.07,42110290.00,171.99,173.14,171.80
AAPL,5/15/2023,172.07,37266660.00,173.16,173.21,171.47
AAPL,5/12/2023,172.57,45533140.00,173.62,174.06,171.00
AAPL,5/11/2023,173.75,49514680.00,173.85,174.59,172.17
AAPL,5/10/2023,173.56,53724500.00,173.02,174.03,171.90
AAPL,5/9/2023,171.77,45326870.00,173.05,173.54,171.60
AAPL,5/8/2023,173.50,55962790.00,172.48,173.85,172.11
AAPL,5/5/2023,173.57,113453200.00,170.98,174.30,170.76
AAPL,5/4/2023,165.79,81235430.00,164.89,167.04,164.31
AAPL,5/3/2023,167.45,65136020.00,169.50,170.92,167.16
AAPL,5/2/2023,168.54,48425700.00,170.09,170.35,167.54
AAPL,5/1/2023,169.59,52472940.00,169.28,170.45,168.64
AAPL,4/28/2023,169.68,55275850.00,168.49,169.85,167.88
AAPL,4/27/2023,168.41,64902330.00,165.19,168.56,165.19
AAPL,4/26/2023,163.76,45498800.00,163.06,165.28,162.80
AAPL,4/25/2023,163.77,48714060.00,165.19,166.31,163.73
AAPL,4/24/2023,165.33,41949580.00,165.00,165.60,163.89
AAPL,4/21/2023,165.02,58337340.00,165.05,166.45,164.49
AAPL,4/20/2023,166.65,52456380.00,166.09,167.87,165.56
AAPL,4/19/2023,167.63,47720170.00,165.80,168.16,165.54
AAPL,4/18/2023,166.47,49923010.00,166.10,167.41,165.65
AAPL,4/17/2023,165.23,41516220.00,165.09,165.39,164.03
AAPL,4/14/2023,165.21,49386480.00,164.59,166.32,163.82
AAPL,4/13/2023,165.56,68445650.00,161.63,165.80,161.42
AAPL,4/12/2023,160.10,50133060.00,161.22,162.06,159.78
AAPL,4/11/2023,160.80,47644220.00,162.35,162.36,160.51
AAPL,4/10/2023,162.03,47716880.00,161.42,162.03,160.08
AAPL,4/6/2023,164.66,45390120.00,162.43,164.96,162.00
AAPL,4/5/2023,163.76,51511740.00,164.74,165.05,161.80
AAPL,4/4/2023,165.63,46278300.00,166.60,166.84,165.11
AAPL,4/3/2023,166.17,56976190.00,164.27,166.29,164.22
AAPL,3/31/2023,164.90,68749790.00,162.44,165.00,161.91
AAPL,3/30/2023,162.36,49501690.00,161.53,162.47,161.27
AAPL,3/29/2023,160.77,51305690.00,159.37,161.05,159.35
AAPL,3/28/2023,157.65,45992150.00,157.97,158.49,155.98
